Country,Area(s),Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Autism Types Included
USA,Alabama; Arizona; Arkansas; California; Colorado; Conneticut; Delaware; Florida; Georgia; Idaho; Illinois; India; Iowa; Kansas; Kentucky; Louisia; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; Ohio; Oklahoma; Oregon; Rhode Island; South Carolina; Tennessee; Texas; Vermont; Virginia; Washington; West Virginia,18 to 64,2008,"8,127,049","29,745",3.66,,,,,autism
Canada,Manitoba,1 to 5,2015,"59,438",578,9.7,,39.6,,,ASD (not specified)
USA,Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin,8,2016,"275,419","5,108",18.5,,,51,,ASD (not specified)
USA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,4,2016,"72,277","1,125",15.6,,,33,,ASD (not specified)
South Korea,Nationwide,,2015,"51,529,338","5,663",0.11,,,,,ASD (not specified)
Japan,Hirosaki,5,2013-2016,"5,016",87,32.2,,,,,ASD (not specified)
USA,Nationwide,3 to 17,2015-2018,"33,775",856,25,,,,,ASD (not specified)
"Basque Country, Spain",County of Gipuzkoa,7 to 9,,"14,734",87,5.9,,,,,ASD (not specified)
Australia,Nationwide,12 to 13,,"3,300",145,43.6,,73.44,,,"ASD (autism, Asperger syndrome, other autism spectrum)"
Japan,,6 to 9,2015,"2,085",40,19,,,,,ASD (not specified)
Greece,Nationwide,10 to 11,2019,"182,879","2,108",11.5,,6,,,"ASD, autism, PDD"
China,Shanghi; Guangzhou; Changsha; Chengdu; Chongquig; Wenzhou; Beijing; Harbin,6 to 12,2014-2016,"125,806",363,7,,,,,ASD (not specified)
USA,California,6,2019,,,15,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)"
USA,Nationwide,6 to 21,"2015, 2016, 2017","50,693,053","625,215",12.3,,,,,ASD (not specified)
Spain,Catalonia,5 to 17,2011-2017,"7,180",48,7,,,,,ASD (unspecified)
Canada,Ontario,1 to 24,2016,"80,237","1,062",13.2,,,,,ASD (not specified)
USA,Nationwide,3 to 17,2014-2019,"52,550","1,330",24.9,,,,,ASD (not specified)
Spain,Tarragona,4 to 5; 10 to 11,2014-2019,"3,727",57,15.3,,,,,ASD (unspecified)
Saudi Arabia,Riyadh,2 to 4,2017-2018,398,10,25,,,,,ASD (not specified)
USA,National,3 to 17,2019-2020,"12,554",410,31.4,,,,,ASD (not specified)
USA,Arizona; Arkansas; California; Georgia; Maryland; Minnesota; Missouri; New Jersey; Tennessee; Utah; Wisconsin,8,2018,"220,281","5,058",23,36.0 - 63.0,,50,,ASD (not specified)
England,National,5 to 19,2017,"7,047,238","119,821",17.6,,,,,ASD (not specified)
USA,New Jersey,8,2016,"26,083",942,36,,,,,ASD (not specified)
Spain,Andalusia,6 to 12,2020-2021,,"4,678",8.65,,53.3,42,,"Autism, Asperger Syndrome, Pervasive Developmental Disorder Not Otherwise Specified, Rett Syndrome and Childhood Disintegrative Disorder"
Korea,National,0 to 8,2010-2020,"4,989,351","35,529",7.12,,,,,ASD (not specified)
